carrera,cuatrimestre,codigo,materia,creditos,creditos_requeridos,correlativas
Bioingeniería,Año 1 - Cuatrimestre 1,12.67,Química General,6,,
Bioingeniería,Año 1 - Cuatrimestre 1,71.58,Informática General,3,,
Bioingeniería,Año 1 - Cuatrimestre 1,92.01,Análisis Matemático I,6,,
Bioingeniería,Año 1 - Cuatrimestre 1,93.18,Álgebra Lineal,6,,
Bioingeniería,Año 1 - Cuatrimestre 1,94.33,Tecnología y Sociedad,3,,
Bioingeniería,Año 1 - Cuatrimestre 2,13.02,Fundamentos de Química Orgánica,6,,
Bioingeniería,Año 1 - Cuatrimestre 2,16.55,Biología,3,,
Bioingeniería,Año 1 - Cuatrimestre 2,31.08,Sistemas de Representación,3,,
Bioingeniería,Año 1 - Cuatrimestre 2,92.02,Análisis Matemático II,6,,
Bioingeniería,Año 1 - Cuatrimestre 2,93.41,Física I,6,,
Bioingeniería,Año 1 - Cuatrimestre 2,94.51,Inglés I,0,,
Bioingeniería,Año 2 - Cuatrimestre 1,16.01,Biología Molecular y Celular,6,,
Bioingeniería,Año 2 - Cuatrimestre 1,71.59,Estructura de Datos y Programación,6,,
Bioingeniería,Año 2 - Cuatrimestre 1,92.03,Análisis Matemático III,6,,
Bioingeniería,Año 2 - Cuatrimestre 1,93.42,Física II,6,,
Bioingeniería,Año 2 - Cuatrimestre 2,16.02,Histología y Anatomía,6,,
Bioingeniería,Año 2 - Cuatrimestre 2,92.04,Análisis Matemàtico IV,6,,
Bioingeniería,Año 2 - Cuatrimestre 2,93.24,Probabilidad y Estadística,6,,
Bioingeniería,Año 2 - Cuatrimestre 2,93.43,Física III,6,,
Bioingeniería,Año 2 - Cuatrimestre 2,94.52,Inglés II,0,,
Bioingeniería,Año 3 - Cuatrimestre 1,16.03,Fisiología,6,,
Bioingeniería,Año 3 - Cuatrimestre 1,16.64,Mecánica de biomateriales y tejidos,8,,
Bioingeniería,Año 3 - Cuatrimestre 1,21.06,Electrotecnia,3,,
Bioingeniería,Año 3 - Cuatrimestre 1,93.61,Física IV,4,,
Bioingeniería,Año 3 - Cuatrimestre 1,94.43,Metodología del Diseño,3,,
Bioingeniería,Año 3 - Cuatrimestre 2,16.24,Ingeniería de Rehabilitación,3,,
Bioingeniería,Año 3 - Cuatrimestre 2,16.44,Física Médica,3,,
Bioingeniería,Año 3 - Cuatrimestre 2,16.68,Señales y Sistemas,6,,
Bioingeniería,Año 3 - Cuatrimestre 2,23.02,Electrónica Analógica y Digital,6,,
Bioingeniería,Año 3 - Cuatrimestre 2,93.54,Métodos Numéricos,3,,
Bioingeniería,Año 3 - Cuatrimestre 2,94.44,Proyecto Interdisciplinario,3,,
Bioingeniería,Año 4 - Cuatrimestre 1,11.15,Organización Industrial,3,,
Bioingeniería,Año 4 - Cuatrimestre 1,16.17,Instrumentación Biomédica I,6,,
Bioingeniería,Año 4 - Cuatrimestre 1,16.63,Procesamiento de Señales e Imágenes Biomédicas,6,,
Bioingeniería,Año 4 - Cuatrimestre 1,23.16,Sistemas de Control,3,,
Bioingeniería,Año 4 - Cuatrimestre 1,61.27,Análisis de Coyuntura Económica,3,,
Bioingeniería,Año 4 - Cuatrimestre 2,12.83,Seguridad Ocupacional y Ambiental,3,,
